id,symbol,name,current_price,market_cap,total_volume,last_updated,ingestion_time
internet-computer,icp,Internet Computer,5.26,2816838289,47860460.0,2025-08-07T16:32:02.810Z,2025-08-07T16:33:42.263133
okb,okb,OKB,45.9,2754972457,5261454.0,2025-08-07T16:32:02.233Z,2025-08-07T16:33:42.263133
pi-network,pi,Pi Network,0.353725,2752037638,75470698.0,2025-08-07T16:32:15.959Z,2025-08-07T16:33:42.263133
jito-staked-sol,jitosol,Jito Staked SOL,207.84,2696491379,30557683.0,2025-08-07T16:32:16.000Z,2025-08-07T16:33:42.263133
kaspa,kas,Kaspa,0.088032,2319973579,58301828.0,2025-08-07T16:32:02.729Z,2025-08-07T16:33:42.263133
binance-peg-weth,weth,Binance-Peg WETH,3828.1,2318333354,59765544.0,2025-08-07T16:32:02.631Z,2025-08-07T16:33:42.263133
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2293454605,0.0,2025-08-07T16:30:11.235Z,2025-08-07T16:33:42.263133
pudgy-penguins,pengu,Pudgy Penguins,0.03621001,2276126790,647044003.0,2025-08-07T16:32:02.339Z,2025-08-07T16:33:42.263133
algorand,algo,Algorand,0.256301,2229279199,111348888.0,2025-08-07T16:32:02.619Z,2025-08-07T16:33:42.263133
usd1-wlfi,usd1,USD1,0.99945,2196697478,583640116.0,2025-08-07T16:32:02.833Z,2025-08-07T16:33:42.263133
polygon-ecosystem-token,pol,POL (ex-MATIC),0.237714,2149767322,172105502.0,2025-08-07T16:32:03.201Z,2025-08-07T16:33:42.263133
arbitrum,arb,Arbitrum,0.40785,2097137041,200422544.0,2025-08-07T16:32:02.612Z,2025-08-07T16:33:42.263133
vechain,vet,VeChain,0.02398421,2060810510,32177035.0,2025-08-07T16:32:02.374Z,2025-08-07T16:33:42.263133
cosmos,atom,Cosmos Hub,4.39,2028424888,86201714.0,2025-08-07T16:32:03.517Z,2025-08-07T16:33:42.263133
gatechain-token,gt,Gate,16.74,2000194082,7591738.0,2025-08-07T16:32:02.158Z,2025-08-07T16:33:42.263133
fasttoken,ftn,Fasttoken,4.59,1978886796,62483703.0,2025-08-07T16:32:02.286Z,2025-08-07T16:33:42.263133
bonk,bonk,Bonk,2.556e-05,1975485604,338288081.0,2025-08-07T16:32:03.285Z,2025-08-07T16:33:42.263133
render-token,render,Render,3.7,1917368119,60276445.0,2025-08-07T16:32:02.282Z,2025-08-07T16:33:42.263133
susds,susds,sUSDS,1.062,1874567287,38739871.0,2025-08-07T16:32:15.964Z,2025-08-07T16:33:42.263133
worldcoin-wld,wld,Worldcoin,1.006,1864145041,148807856.0,2025-08-07T16:32:02.712Z,2025-08-07T16:33:42.263133
story-2,ip,Story,6.17,1824530443,51927143.0,2025-08-07T16:32:02.825Z,2025-08-07T16:33:42.263133
official-trump,trump,Official Trump,9.03,1805905045,230576544.0,2025-08-07T16:32:02.609Z,2025-08-07T16:33:42.263133
rocket-pool-eth,reth,Rocket Pool ETH,4359.85,1802143655,4627124.0,2025-08-07T16:32:16.089Z,2025-08-07T16:33:42.263133
fetch-ai,fet,Artificial Superintelligence Alliance,0.683586,1779196897,70990814.0,2025-08-07T16:32:02.543Z,2025-08-07T16:33:42.263133
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.99,1766313302,30564813.0,2025-08-07T16:32:02.384Z,2025-08-07T16:33:42.263133
binance-staked-sol,bnsol,Binance Staked SOL,181.24,1766147076,1897906.0,2025-08-07T16:32:02.679Z,2025-08-07T16:33:42.263133
sei-network,sei,Sei,0.302511,1746789996,138031694.0,2025-08-07T16:32:02.652Z,2025-08-07T16:33:42.263133
sky,sky,Sky,0.082224,1746301167,1551806.0,2025-08-07T16:32:02.349Z,2025-08-07T16:33:42.263133
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,4023.38,1705477733,2234945.0,2025-08-07T16:32:02.255Z,2025-08-07T16:33:42.263133
filecoin,fil,Filecoin,2.44,1664059188,125326172.0,2025-08-07T16:32:02.443Z,2025-08-07T16:33:42.263133
flare-networks,flr,Flare,0.02303269,1641810625,11722171.0,2025-08-07T16:32:02.778Z,2025-08-07T16:33:42.263133
spx6900,spx,SPX6900,1.76,1636231551,70182403.0,2025-08-07T16:32:02.476Z,2025-08-07T16:33:42.263133
lombard-staked-btc,lbtc,Lombard Staked BTC,116747.0,1627075904,11117585.0,2025-08-07T16:32:02.384Z,2025-08-07T16:33:42.263133
quant-network,qnt,Quant,110.5,1606108586,16998724.0,2025-08-07T16:32:02.721Z,2025-08-07T16:33:42.263133
xdce-crowd-sale,xdc,XDC Network,0.093126,1511566983,32594389.0,2025-08-07T16:32:02.612Z,2025-08-07T16:33:42.263133
jupiter-exchange-solana,jup,Jupiter,0.487592,1491172624,37261454.0,2025-08-07T16:32:02.672Z,2025-08-07T16:33:42.263133
usdtb,usdtb,USDtb,1.0,1456952724,2701986.0,2025-08-07T16:32:02.969Z,2025-08-07T16:33:42.263133
stakewise-v3-oseth,oseth,StakeWise Staked ETH,4031.59,1447435516,37843.0,2025-08-07T16:32:02.395Z,2025-08-07T16:33:42.263133
mantle-staked-ether,meth,Mantle Staked Ether,4133.46,1399823955,4268538.0,2025-08-07T16:32:02.395Z,2025-08-07T16:33:42.263133
liquid-staked-ethereum,lseth,Liquid Staked ETH,4123.23,1386184823,1043882.0,2025-08-07T16:32:02.786Z,2025-08-07T16:33:42.263133
usdt0,usdt0,USDT0,0.998994,1363264328,305406281.0,2025-08-07T16:32:02.818Z,2025-08-07T16:33:42.263133
hash-2,hash,Provenance Blockchain,0.02847904,1357961480,7181.06,2025-08-07T16:32:02.794Z,2025-08-07T16:33:42.263133
injective-protocol,inj,Injective,13.76,1344230484,113108289.0,2025-08-07T16:32:03.210Z,2025-08-07T16:33:42.263133
kucoin-shares,kcs,KuCoin,10.51,1339642903,4133294.0,2025-08-07T16:32:02.639Z,2025-08-07T16:33:42.263133
nexo,nexo,NEXO,1.32,1317843299,9525350.0,2025-08-07T16:32:02.532Z,2025-08-07T16:33:42.263133
blockstack,stx,Stacks,0.721233,1290102939,28784691.0,2025-08-07T16:32:02.761Z,2025-08-07T16:33:42.263133
first-digital-usd,fdusd,First Digital USD,0.997811,1270445625,5444561437.0,2025-08-07T16:32:13.544Z,2025-08-07T16:33:42.263133
curve-dao-token,crv,Curve DAO,0.91771,1268215046,204743764.0,2025-08-07T16:32:13.691Z,2025-08-07T16:33:42.263133
celestia,tia,Celestia,1.72,1266510880,85409762.0,2025-08-07T16:32:02.886Z,2025-08-07T16:33:42.263133
falcon-finance,usdf,Falcon USD,0.999961,1259102245,33360573.0,2025-08-07T16:32:02.553Z,2025-08-07T16:33:42.263133
renzo-restaked-eth,ezeth,Renzo Restaked ETH,4041.11,1254502691,8348401.0,2025-08-07T16:32:02.938Z,2025-08-07T16:33:42.263133
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),0.999894,1222726698,66471925.0,2025-08-07T16:32:11.894Z,2025-08-07T16:33:42.263133
